index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
99,1,2,12,30,Barcelona,Pass,6,Regular Play,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,26.8,8.5,5211.0,Jordi Alba Ramos,26.502264,1.0,Ground Pass,52.9,3.9,Right Foot,
101,1,2,16,30,Barcelona,Pass,6,Regular Play,5211.0,Jordi Alba Ramos,6.0,Left Back,53.3,8.3,5203.0,Sergio Busquets i Burgos,10.647065,1.0,Ground Pass,58.3,17.7,Left Foot,
104,1,2,17,30,Barcelona,Pass,6,Regular Play,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,58.5,17.6,5506.0,Javier Alejandro Mascherano,11.985408,1.0,Ground Pass,47.8,12.2,Right Foot,
107,1,2,20,30,Barcelona,Pass,6,Regular Play,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,43.0,16.2,5213.0,Gerard Piqué Bernabéu,36.388046,1.0,Ground Pass,48.3,52.2,Right Foot,
110,1,2,24,30,Barcelona,Pass,6,Regular Play,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,55.4,56.1,3958.0,Pedro Eliezer Rodríguez Ledesma,65.06281,3.0,High Pass,106.0,15.2,Right Foot,Incomplete
115,1,2,52,30,Barcelona,Pass,7,From Corner,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,120.0,1.0,5503.0,Lionel Andrés Messi Cuccittini,7.8549347,1.0,Ground Pass,112.7,3.9,Right Foot,
118,1,2,53,30,Barcelona,Pass,7,From Corner,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,112.7,6.2,5211.0,Jordi Alba Ramos,21.53625,1.0,Ground Pass,92.2,12.8,Left Foot,
121,1,2,56,30,Barcelona,Pass,7,From Corner,5211.0,Jordi Alba Ramos,6.0,Left Back,92.2,12.8,5203.0,Sergio Busquets i Burgos,38.260292,3.0,High Pass,108.1,47.6,Left Foot,Incomplete
126,1,3,3,30,Barcelona,Pass,7,From Corner,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,83.6,73.6,6593.0,Martín Montoya Torralbo,36.201244,1.0,Ground Pass,55.4,50.9,Right Foot,
129,1,3,7,30,Barcelona,Pass,7,From Corner,6593.0,Martín Montoya Torralbo,2.0,Right Back,55.4,50.9,5506.0,Javier Alejandro Mascherano,20.17771,1.0,Ground Pass,63.9,32.6,Right Foot,
132,1,3,10,30,Barcelona,Pass,7,From Corner,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,63.9,32.6,5211.0,Jordi Alba Ramos,29.548096,1.0,Ground Pass,71.7,4.1,Right Foot,
135,1,3,12,30,Barcelona,Pass,7,From Corner,5211.0,Jordi Alba Ramos,6.0,Left Back,70.7,4.1,5503.0,Lionel Andrés Messi Cuccittini,15.282016,1.0,Ground Pass,83.4,12.6,Left Foot,
157,1,3,38,30,Barcelona,Pass,10,Regular Play,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,15.1,37.7,5470.0,Ivan Rakitić,9.867117,1.0,Ground Pass,24.5,34.7,Right Foot,
160,1,3,38,30,Barcelona,Pass,10,Regular Play,5470.0,Ivan Rakitić,13.0,Right Center Midfield,24.5,34.7,5506.0,Javier Alejandro Mascherano,6.551336,1.0,Ground Pass,21.1,29.1,Right Foot,
163,1,3,40,30,Barcelona,Pass,10,Regular Play,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,21.1,29.1,6593.0,Martín Montoya Torralbo,27.001667,1.0,Ground Pass,20.8,56.1,Right Foot,
167,1,3,43,30,Barcelona,Pass,10,Regular Play,6593.0,Martín Montoya Torralbo,2.0,Right Back,20.7,54.4,4691.0,Claudio Andrés Bravo Muñoz,23.83212,1.0,Ground Pass,4.1,37.3,Right Foot,
170,1,3,48,30,Barcelona,Pass,10,Regular Play,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,4.5,37.0,5211.0,Jordi Alba Ramos,31.067184,1.0,Ground Pass,15.9,8.1,Right Foot,
173,1,3,53,30,Barcelona,Pass,10,Regular Play,5211.0,Jordi Alba Ramos,6.0,Left Back,25.4,9.9,5506.0,Javier Alejandro Mascherano,15.096026,1.0,Ground Pass,21.2,24.4,Left Foot,
176,1,3,56,30,Barcelona,Pass,10,Regular Play,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,21.2,24.4,5213.0,Gerard Piqué Bernabéu,40.430805,2.0,Low Pass,31.1,63.6,Right Foot,
179,1,4,5,30,Barcelona,Pass,10,Regular Play,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,54.7,59.1,5503.0,Lionel Andrés Messi Cuccittini,12.55906,1.0,Ground Pass,66.5,54.8,Right Foot,
182,1,4,11,30,Barcelona,Pass,10,Regular Play,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,70.0,55.8,5211.0,Jordi Alba Ramos,54.136124,3.0,High Pass,83.6,3.4,Left Foot,
185,1,4,16,30,Barcelona,Pass,10,Regular Play,5211.0,Jordi Alba Ramos,6.0,Left Back,82.9,5.2,5216.0,Andrés Iniesta Luján,10.317461,1.0,Ground Pass,77.2,13.8,Left Foot,
188,1,4,17,30,Barcelona,Pass,10,Regular Play,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,77.2,13.8,5211.0,Jordi Alba Ramos,7.962412,1.0,Ground Pass,80.6,6.6,Left Foot,
192,1,4,18,30,Barcelona,Pass,10,Regular Play,5211.0,Jordi Alba Ramos,6.0,Left Back,80.6,6.0,5216.0,Andrés Iniesta Luján,8.17435,1.0,Ground Pass,72.7,8.1,Left Foot,
195,1,4,19,30,Barcelona,Pass,10,Regular Play,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,73.1,7.7,5211.0,Jordi Alba Ramos,3.1780498,1.0,Ground Pass,76.0,6.4,Right Foot,Incomplete
198,1,4,27,30,Barcelona,Pass,11,From Throw In,5211.0,Jordi Alba Ramos,6.0,Left Back,79.7,1.0,5506.0,Javier Alejandro Mascherano,22.98978,2.0,Low Pass,57.9,8.3,,
201,1,4,31,30,Barcelona,Pass,11,From Throw In,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,55.3,8.3,5213.0,Gerard Piqué Bernabéu,37.91319,1.0,Ground Pass,54.3,46.2,Right Foot,
205,1,4,39,30,Barcelona,Pass,11,From Throw In,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,69.9,53.2,6593.0,Martín Montoya Torralbo,24.987396,1.0,Ground Pass,82.8,74.6,Right Foot,
208,1,4,41,30,Barcelona,Pass,11,From Throw In,6593.0,Martín Montoya Torralbo,2.0,Right Back,86.1,73.7,5470.0,Ivan Rakitić,8.464632,1.0,Ground Pass,84.0,65.5,Right Foot,
211,1,4,43,30,Barcelona,Pass,11,From Throw In,5470.0,Ivan Rakitić,13.0,Right Center Midfield,84.0,65.5,6593.0,Martín Montoya Torralbo,8.1,1.0,Ground Pass,84.0,73.6,Right Foot,
214,1,4,44,30,Barcelona,Pass,11,From Throw In,6593.0,Martín Montoya Torralbo,2.0,Right Back,84.5,75.4,5213.0,Gerard Piqué Bernabéu,24.581701,1.0,Ground Pass,62.0,65.5,Right Foot,
